dataset,architecture,implementation,epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc
comments,basic,tensorflow,3,0.28693599801063535,0.3256295621395111,0.8544,0.8450155763239875,0.868,0.856353591160221,0.9345659199999999
comments,basic,tensorflow,4,0.20191642063856124,0.31829407811164856,0.8604,0.8412878787878788,0.8884,0.8642023346303502,0.9392908
comments,basic,tensorflow,5,0.1370912202179432,0.3279539942741394,0.8618,0.845360824742268,0.8856,0.8650126977925376,0.938938
comments,basic,tensorflow,6,0.08950111095905304,0.34213587641716003,0.858,0.8523622047244095,0.866,0.8591269841269841,0.9376336000000001
comments,basic,tensorflow,7,0.05633994374275208,0.3645753264427185,0.8564,0.8464230171073095,0.8708,0.8584384858044164,0.9367660800000001
comments,basic,tensorflow,8,0.03543961088657379,0.3907146751880646,0.8592,0.8527101335428122,0.8684,0.8604835513277844,0.9349392799999999
comments,improved,scratch,1,0.6034167090415955,0.4282074272632599,0.8084,0.8250421585160203,0.7828,0.8033661740558292,0.886792
comments,improved,scratch,2,0.31114799790382386,0.28679072856903076,0.8796,0.8918249380677127,0.864,0.8776919951239334,0.950684
comments,improved,scratch,3,0.17067851829528807,0.29523470997810364,0.8804,0.9204244031830239,0.8328,0.874422511549769,0.95475168
comments,improved,scratch,4,0.09050613577365875,0.32141295075416565,0.8842,0.8609545283727922,0.9164,0.887812439449719,0.9526834399999999
comments,improved,scratch,5,0.042731082314252856,0.3639304041862488,0.879,0.8595825426944972,0.906,0.8821811100292113,0.95040664
comments,improved,scratch,6,0.01843689458370209,0.4029581546783447,0.8816,0.8828250401284109,0.88,0.8814102564102564,0.94914272
comments,improved,scratch,7,0.008951447378098965,0.4486638605594635,0.881,0.8836085380587998,0.8776,0.8805940196668673,0.9475146399999999
comments,improved,pytorch,1,0.6046540616989136,0.4306418001651764,0.8072,0.8262531860662702,0.778,0.8014009064688916,0.88555224
comments,improved,pytorch,2,0.3119364340543747,0.2871723771095276,0.8816,0.8897058823529411,0.8712,0.8803556992724333,0.950252
comments,improved,pytorch,3,0.1721469217300415,0.2956390082836151,0.8804,0.9237967914438503,0.8292,0.8739460370994941,0.95481408
comments,improved,pytorch,4,0.09134057515859603,0.32092469930648804,0.8794,0.8537859007832899,0.9156,0.8836132020845396,0.9532497600000001
comments,improved,pytorch,5,0.04327350980639458,0.36649686098098755,0.8744,0.8497757847533632,0.9096,0.8786707882534776,0.9504811999999999
comments,improved,pytorch,6,0.01857586682587862,0.39940953254699707,0.8824,0.8790642347343378,0.8868,0.8829151732377539,0.94943408
comments,improved,pytorch,7,0.00786768110692501,0.44323989748954773,0.88,0.8760886777513855,0.8852,0.8806207719856745,0.9480171999999999
comments,improved,tensorflow,1,0.5976876247882843,0.42982402443885803,0.807,0.8284124946512623,0.7744,0.8004961753152781,0.88574576
comments,improved,tensorflow,2,0.3105511378765106,0.2847959101200104,0.8842,0.9034019319613608,0.8604,0.8813767670559312,0.9515342400000001
comments,improved,tensorflow,3,0.17087409515380858,0.28974610567092896,0.885,0.917208495882098,0.8464,0.8803827751196173,0.95513632
comments,improved,tensorflow,4,0.09231853415966033,0.3165646493434906,0.8828,0.8622255866767601,0.9112,0.8860365616491638,0.9533592
comments,improved,tensorflow,5,0.043948884439468386,0.35771444439888,0.8848,0.8717156105100463,0.9024,0.8867924528301887,0.9509592000000001
comments,improved,tensorflow,6,0.01984015803821385,0.40806126594543457,0.8804,0.8859577922077922,0.8732,0.8795326349717969,0.9491158399999999
comments,improved,tensorflow,7,0.008867460315674543,0.4476616084575653,0.8806,0.8744588744588745,0.8888,0.8815711168418965,0.94782496
comments,improved,tensorflow,8,0.003986088786274195,0.4815475642681122,0.877,0.8817334953422439,0.8708,0.8762326423827732,0.94753416
